Original_ID	Uniprot_ID	Structure_Alphafold	Source
A0A023T4K3	P49029	../datasets/Structures/P49029.pdb	alphafold
A0A023T778	A0A023T778	../datasets/Structures/A0A023T778.pdb	alphafold
A0A061ACF5	A0A061ACF5	../datasets/Structures/A0A061ACF5.pdb	alphafold
A0A061ACH4	A0A061ACH4	../datasets/Structures/A0A061ACH4.pdb	alphafold
A0A061ACH8	A0A061ACH8	../datasets/Structures/A0A061ACH8.pdb	alphafold
A0A061ACH9	A0A061ACH9	../datasets/Structures/A0A061ACH9.pdb	alphafold
A0A061ACL3	A0A061ACL3	../datasets/Structures/A0A061ACL3.pdb	alphafold
A0A061ACL6	A0A061ACL6	../datasets/Structures/A0A061ACL6.pdb	alphafold
A0A061ACM7	A0A061ACM7	../datasets/Structures/A0A061ACM7.pdb	alphafold
A0A061ACR1	A0A061ACR1	../datasets/Structures/A0A061ACR1.pdb	alphafold
A0A061ACX4	A0A061ACX4	../datasets/Structures/A0A061ACX4.pdb	alphafold
A0A061AJJ3	A0A061AJJ3	../datasets/Structures/A0A061AJJ3.pdb	alphafold
A0A068BIS6	A0A068BIS6	../datasets/Structures/A0A068BIS6.pdb	alphafold
A0A077LSK8	A0A077LSK8	../datasets/Structures/A0A077LSK8.pdb	alphafold
A0A077S9N1	A0A077S9N1	../datasets/Structures/A0A077S9N1.pdb	alphafold
A0A078BPG0	A0A078BPG0	../datasets/Structures/A0A078BPG0.pdb	alphafold
A0A087WNV1	A0A087WNV1	../datasets/Structures/A0A087WNV1.pdb	alphafold
A0A087WP63	A0A087WP63	No structure available	NA
A0A087WPH5	A0A087WPH5	No structure available	NA
A0A087WPX0	A0A087WPX0	No structure available	NA
A0A087WQ86	Q8BZN6	../datasets/Structures/Q8BZN6.pdb	alphafold
A0A087WQE6	A0A087WQE6	../datasets/Structures/A0A087WQE6.pdb	alphafold
A0A087WQS2	A0A087WQS2	../datasets/Structures/A0A087WQS2.pdb	alphafold
A0A087WQT0	A0A087WQT0	../datasets/Structures/A0A087WQT0.pdb	alphafold
A0A087WR70	A0A087WR70	../datasets/Structures/A0A087WR70.pdb	alphafold
A0A087WRE5	A0A087WRE5	No structure available	NA
A0A087WRE7	A0A087WRE7	No structure available	NA
A0A087WRM0	A0A087WRM0	No structure available	NA
A0A087WRM2	A0A087WRM2	../datasets/Structures/A0A087WRM2.pdb	alphafold
A0A087WRW6	A0A087WRW6	../datasets/Structures/A0A087WRW6.pdb	alphafold
A0A087WST1	A0A087WST1	../datasets/Structures/A0A087WST1.pdb	alphafold
A0A0A0MQ73	A0A0A0MQ73	No structure available	NA
A0A0A0MQ89	A0A0A0MQ89	../datasets/Structures/A0A0A0MQ89.pdb	alphafold
A0A0A0MQ98	A0A0A0MQ98	No structure available	NA
A0A0A0MQA5	A0A0A0MQA5	No structure available	NA
A0A0A0MQD1	A0A0A0MQD1	../datasets/Structures/A0A0A0MQD1.pdb	alphafold
A0A0A0MQE5	A0A0A0MQE5	No structure available	NA
A0A0A0MQF5	A0A0A0MQF5	../datasets/Structures/A0A0A0MQF5.pdb	alphafold
A0A0A0MQN4	A0A0A0MQN4	../datasets/Structures/A0A0A0MQN4.pdb	alphafold
A0A0A6YW28	A0A0A6YW28	../datasets/Structures/A0A0A6YW28.pdb	alphafold
A0A0A6YWA7	A0A0A6YWA7	../datasets/Structures/A0A0A6YWA7.pdb	alphafold
A0A0A6YWB0	A0A0A6YWB0	../datasets/Structures/A0A0A6YWB0.pdb	alphafold
A0A0A6YWT5	A0A0A6YWT5	../datasets/Structures/A0A0A6YWT5.pdb	alphafold
A0A0A6YWY3	A0A0A6YWY3	../datasets/Structures/A0A0A6YWY3.pdb	alphafold
A0A0A6YX18	A0A0A6YX18	../datasets/Structures/A0A0A6YX18.pdb	alphafold
A0A0A6YX21	A0A0A6YX21	../datasets/Structures/A0A0A6YX21.pdb	alphafold
A0A0A6YX25	A0A0A6YX25	No structure available	NA
